Ciudad,Dia (AAAA/MM/DD),Hora,Previsión (°C),Velocidad (km/h),Rachas (km/h),Lluvias (mm),Nieve (cm),Nubes (%),Tormenta (%),Humedad (%),Presión (hPa),Sensación térmica (°C),Prob. precipitación (%),Hora observación,Visibilidad
castellon-de-la-plana,2018/11/10,12:00,19 ,8 ,12 ,0 ,0 ,50,0,55,1014 ,19,20,NULL,NULL
castellon-de-la-plana,2018/11/10,13:00,21 ,9 ,13 ,0 ,0 ,50,0,53,1014 ,21,20,NULL,NULL
castellon-de-la-plana,2018/11/10,14:00,22 ,8 ,13 ,0 ,0 ,70,0,52,1013 ,22,20,NULL,NULL
castellon-de-la-plana,2018/11/10,15:00,22 ,8 ,13 ,0 ,0 ,70,0,52,1013 ,22,20,NULL,NULL
castellon-de-la-plana,2018/11/10,16:00,21 ,8 ,13 ,0 ,0 ,70,0,54,1012 ,21,20,NULL,NULL
castellon-de-la-plana,2018/11/10,17:00,20 ,8 ,13 ,0 ,0 ,90,0,58,1012 ,20,30,NULL,NULL
castellon-de-la-plana,2018/11/10,18:00,19 ,8 ,13 ,0 ,0 ,90,0,64,1013 ,19,30,NULL,NULL
castellon-de-la-plana,2018/11/10,19:00,18 ,8 ,13 ,0 ,0 ,90,0,67,1013 ,18,30,NULL,NULL
castellon-de-la-plana,2018/11/10,20:00,17 ,9 ,13 ,0 ,0 ,100,0,68,1013 ,17,30,NULL,NULL
castellon-de-la-plana,2018/11/10,21:00,17 ,9 ,13 ,0 ,0 ,100,0,69,1014 ,17,30,NULL,NULL
castellon-de-la-plana,2018/11/10,22:00,16 ,9 ,14 ,0 ,0 ,100,0,69,1014 ,16,30,NULL,NULL
castellon-de-la-plana,2018/11/10,23:00,16 ,9 ,13 ,0 ,0 ,90,0,69,1014 ,16,30,NULL,NULL
castellon-de-la-plana,2018/11/11,00:00,16 ,8 ,12 ,0 ,0 ,90,0,69,1014 ,16,30,NULL,NULL
castellon-de-la-plana,2018/11/11,01:00,16 ,7 ,11 ,0 ,0 ,90,0,70,1014 ,16,30,NULL,NULL
castellon-de-la-plana,2018/11/11,02:00,16 ,7 ,11 ,0 ,0 ,100,0,71,1014 ,16,30,NULL,NULL
castellon-de-la-plana,2018/11/11,03:00,16 ,8 ,12 ,0 ,0 ,100,0,74,1014 ,16,30,NULL,NULL
castellon-de-la-plana,2018/11/11,04:00,16 ,8 ,12 ,0 ,0 ,100,0,76,1014 ,16,30,NULL,NULL
castellon-de-la-plana,2018/11/11,05:00,15 ,8 ,11 ,0 ,0 ,30,0,78,1014 ,15,10,NULL,NULL
castellon-de-la-plana,2018/11/11,06:00,15 ,7 ,11 ,0 ,0 ,30,0,80,1014 ,15,10,NULL,NULL
castellon-de-la-plana,2018/11/11,07:00,14 ,7 ,11 ,0 ,0 ,30,0,80,1015 ,14,10,NULL,NULL
castellon-de-la-plana,2018/11/11,08:00,14 ,7 ,10 ,0 ,0 ,20,0,78,1015 ,14,NULL,NULL,NULL
castellon-de-la-plana,2018/11/11,09:00,15 ,6 ,10 ,0 ,0 ,20,0,75,1016 ,15,NULL,NULL,NULL
castellon-de-la-plana,2018/11/11,10:00,16 ,6 ,9 ,0 ,0 ,20,0,71,1016 ,16,NULL,NULL,NULL
castellon-de-la-plana,2018/11/11,11:00,18 ,7 ,10 ,0 ,0 ,20,0,67,1016 ,18,NULL,NULL,NULL
ciudad-real,2018/11/8,Ahora,10 ,8 ,12 ,--,--,--,--,100 ,1019 ,9,NULL,12:25,Ilimitada
ciudad-real,2018/11/8,13:00,13 ,8 ,12 ,1.2 ,0 ,90,0,87,1016 ,13,90,NULL,NULL
ciudad-real,2018/11/8,14:00,13 ,9 ,14 ,3.3 ,0 ,80,0,87,1016 ,13,90,NULL,NULL
ciudad-real,2018/11/8,15:00,13 ,10 ,15 ,3.3 ,0 ,80,0,89,1015 ,13,90,NULL,NULL
ciudad-real,2018/11/8,16:00,12 ,11 ,16 ,3.3 ,0 ,80,0,90,1015 ,12,90,NULL,NULL
ciudad-real,2018/11/8,17:00,12 ,11 ,16 ,1 ,0 ,40,0,89,1014 ,12,60,NULL,NULL
ciudad-real,2018/11/8,18:00,12 ,10 ,15 ,1 ,0 ,40,0,87,1015 ,12,60,NULL,NULL
ciudad-real,2018/11/8,19:00,11 ,9 ,14 ,1 ,0 ,40,0,85,1015 ,11,60,NULL,NULL
ciudad-real,2018/11/8,20:00,11 ,10 ,15 ,0.9 ,0 ,80,0,87,1016 ,11,90,NULL,NULL
ciudad-real,2018/11/8,21:00,10 ,10 ,15 ,0.9 ,0 ,80,0,91,1017 ,8,90,NULL,NULL
ciudad-real,2018/11/8,22:00,9 ,11 ,16 ,0.9 ,0 ,80,0,93,1017 ,9,90,NULL,NULL
ciudad-real,2018/11/8,23:00,9 ,11 ,16 ,0 ,0 ,30,0,93,1018 ,7,10,NULL,NULL
ciudad-real,2018/11/9,00:00,8 ,11 ,16 ,0 ,0 ,30,0,92,1018 ,8,10,NULL,NULL
ciudad-real,2018/11/9,01:00,8 ,11 ,16 ,0 ,0 ,30,0,91,1019 ,6,10,NULL,NULL
ciudad-real,2018/11/9,02:00,7 ,11 ,16 ,0 ,0 ,70,0,92,1019 ,5,20,NULL,NULL
ciudad-real,2018/11/9,03:00,7 ,11 ,16 ,0 ,0 ,70,0,94,1019 ,5,20,NULL,NULL
ciudad-real,2018/11/9,04:00,7 ,11 ,16 ,0 ,0 ,70,0,95,1020 ,4,20,NULL,NULL
ciudad-real,2018/11/9,05:00,6 ,10 ,15 ,0 ,0 ,70,0,95,1020 ,4,20,NULL,NULL
ciudad-real,2018/11/9,06:00,6 ,10 ,15 ,0 ,0 ,70,0,94,1021 ,4,20,NULL,NULL
ciudad-real,2018/11/9,07:00,7 ,10 ,14 ,0 ,0 ,70,0,92,1022 ,5,20,NULL,NULL
ciudad-real,2018/11/9,08:00,7 ,10 ,15 ,0 ,0 ,80,0,88,1022 ,5,20,NULL,NULL
ciudad-real,2018/11/9,09:00,7 ,12 ,17 ,0 ,0 ,80,0,85,1023 ,5,20,NULL,NULL
ciudad-real,2018/11/9,10:00,7 ,12 ,19 ,0 ,0 ,80,0,81,1024 ,5,20,NULL,NULL
ciudad-real,2018/11/9,11:00,8 ,12 ,19 ,0 ,0 ,60,0,79,1024 ,6,20,NULL,NULL
ciudad-real,2018/11/9,12:00,10 ,12 ,18 ,0 ,0 ,60,0,76,1024 ,8,20,NULL,NULL
ciudad-real,2018/11/9,13:00,11 ,12 ,18 ,0 ,0 ,60,0,74,1023 ,9,20,NULL,NULL
ciudad-real,2018/11/9,14:00,11 ,12 ,18 ,0 ,0 ,70,0,74,1023 ,11,20,NULL,NULL
ciudad-real,2018/11/9,15:00,11 ,13 ,19 ,0 ,0 ,70,0,74,1022 ,11,20,NULL,NULL
ciudad-real,2018/11/9,16:00,11 ,13 ,19 ,0 ,0 ,70,0,74,1022 ,11,20,NULL,NULL
ciudad-real,2018/11/9,17:00,11 ,12 ,18 ,0 ,0 ,80,0,75,1022 ,9,20,NULL,NULL
ciudad-real,2018/11/9,18:00,10 ,10 ,15 ,0 ,0 ,80,0,75,1022 ,10,20,NULL,NULL
ciudad-real,2018/11/9,19:00,10 ,9 ,13 ,0 ,0 ,80,0,76,1022 ,8,20,NULL,NULL
ciudad-real,2018/11/9,20:00,9 ,8 ,12 ,0 ,0 ,90,0,77,1022 ,9,30,NULL,NULL
ciudad-real,2018/11/9,21:00,9 ,7 ,11 ,0 ,0 ,90,0,78,1023 ,9,30,NULL,NULL
ciudad-real,2018/11/9,22:00,9 ,7 ,11 ,0 ,0 ,90,0,79,1023 ,9,30,NULL,NULL
ciudad-real,2018/11/9,23:00,9 ,7 ,11 ,0 ,0 ,100,0,79,1023 ,9,30,NULL,NULL
ciudad-real,2018/11/10,00:00,9 ,8 ,12 ,0 ,0 ,100,0,79,1022 ,9,30,NULL,NULL
ciudad-real,2018/11/10,01:00,9 ,8 ,13 ,0 ,0 ,100,0,79,1022 ,9,30,NULL,NULL
ciudad-real,2018/11/10,02:00,9 ,8 ,12 ,0 ,0 ,100,0,80,1021 ,7,30,NULL,NULL
ciudad-real,2018/11/10,03:00,8 ,8 ,11 ,0 ,0 ,100,0,81,1020 ,8,30,NULL,NULL
ciudad-real,2018/11/10,04:00,8 ,7 ,11 ,0 ,0 ,100,0,82,1020 ,8,30,NULL,NULL
ciudad-real,2018/11/10,05:00,8 ,7 ,11 ,0.1 ,0 ,90,0,83,1020 ,8,60,NULL,NULL
ciudad-real,2018/11/10,06:00,9 ,7 ,11 ,0.1 ,0 ,90,0,85,1019 ,7,60,NULL,NULL
ciudad-real,2018/11/10,07:00,9 ,8 ,12 ,0.1 ,0 ,90,0,86,1019 ,9,60,NULL,NULL
ciudad-real,2018/11/10,08:00,9 ,9 ,13 ,0 ,0 ,90,0,86,1019 ,9,30,NULL,NULL
ciudad-real,2018/11/10,09:00,10 ,10 ,15 ,0 ,0 ,90,0,84,1020 ,10,30,NULL,NULL
ciudad-real,2018/11/10,10:00,11 ,11 ,17 ,0 ,0 ,90,0,83,1020 ,9,30,NULL,NULL
ciudad-real,2018/11/10,11:00,12 ,12 ,18 ,0 ,0 ,100,0,83,1019 ,12,30,NULL,NULL
ciudad-real,2018/11/10,12:00,14 ,13 ,20 ,0 ,0 ,100,0,83,1018 ,14,30,NULL,NULL
ciudad-real,2018/11/10,13:00,15 ,14 ,21 ,0 ,0 ,100,0,83,1018 ,15,30,NULL,NULL
ciudad-real,2018/11/10,14:00,14 ,14 ,21 ,0 ,0 ,100,0,83,1017 ,14,30,NULL,NULL
ciudad-real,2018/11/10,15:00,14 ,14 ,21 ,0 ,0 ,100,0,82,1017 ,14,30,NULL,NULL
ciudad-real,2018/11/10,16:00,14 ,14 ,21 ,0 ,0 ,100,0,82,1017 ,14,30,NULL,NULL
ciudad-real,2018/11/10,17:00,14 ,14 ,21 ,0.1 ,0 ,90,0,83,1016 ,14,60,NULL,NULL
ciudad-real,2018/11/10,18:00,14 ,14 ,21 ,0.1 ,0 ,90,0,84,1016 ,14,60,NULL,NULL
ciudad-real,2018/11/10,19:00,14 ,14 ,21 ,0.1 ,0 ,90,0,85,1017 ,14,60,NULL,NULL
ciudad-real,2018/11/10,20:00,14 ,14 ,20 ,0.3 ,0 ,90,0,85,1017 ,14,70,NULL,NULL
ciudad-real,2018/11/10,21:00,14 ,14 ,20 ,0.3 ,0 ,90,0,84,1017 ,14,70,NULL,NULL
ciudad-real,2018/11/10,22:00,13 ,14 ,20 ,0.3 ,0 ,90,0,84,1018 ,13,70,NULL,NULL
ciudad-real,2018/11/10,23:00,13 ,13 ,20 ,0.3 ,0 ,90,0,86,1017 ,13,80,NULL,NULL
ciudad-real,2018/11/11,00:00,13 ,13 ,19 ,0.3 ,0 ,90,0,88,1017 ,13,80,NULL,NULL
ciudad-real,2018/11/11,01:00,13 ,12 ,18 ,0.3 ,0 ,90,0,89,1017 ,13,80,NULL,NULL
ciudad-real,2018/11/11,02:00,12 ,10 ,16 ,0.1 ,0 ,90,0,89,1017 ,12,60,NULL,NULL
ciudad-real,2018/11/11,03:00,12 ,9 ,13 ,0.1 ,0 ,90,0,89,1017 ,12,60,NULL,NULL
ciudad-real,2018/11/11,04:00,12 ,7 ,11 ,0.1 ,0 ,90,0,89,1017 ,12,60,NULL,NULL
ciudad-real,2018/11/11,05:00,12 ,7 ,10 ,0 ,0 ,90,0,90,1017 ,12,30,NULL,NULL
ciudad-real,2018/11/11,06:00,11 ,7 ,10 ,0 ,0 ,90,0,92,1017 ,11,30,NULL,NULL
ciudad-real,2018/11/11,07:00,11 ,7 ,11 ,0 ,0 ,90,0,93,1016 ,11,30,NULL,NULL
ciudad-real,2018/11/11,08:00,11 ,8 ,12 ,0 ,0 ,70,0,91,1017 ,11,20,NULL,NULL
ciudad-real,2018/11/11,09:00,12 ,9 ,14 ,0 ,0 ,70,0,90,1017 ,12,20,NULL,NULL
ciudad-real,2018/11/11,10:00,13 ,10 ,15 ,0 ,0 ,70,0,88,1017 ,13,20,NULL,NULL
ciudad-real,2018/11/11,11:00,14 ,10 ,16 ,0 ,0 ,60,0,86,1016 ,14,20,NULL,NULL
ciudad-real,2018/11/11,12:00,16 ,11 ,16 ,0 ,0 ,60,0,84,1016 ,16,20,NULL,NULL
cordoba,2018/11/8,Ahora,15 ,15 ,23 ,--,--,--,--,82 ,1018 ,14,NULL,12:15,Ilimitada
cordoba,2018/11/8,13:00,15 ,9 ,13 ,1.3 ,0 ,100,0,90,1017 ,15,90,NULL,NULL
cordoba,2018/11/8,14:00,15 ,10 ,15 ,2.1 ,0 ,100,0,91,1017 ,15,100,NULL,NULL
cordoba,2018/11/8,15:00,15 ,12 ,17 ,2.1 ,0 ,100,0,93,1016 ,15,100,NULL,NULL
cordoba,2018/11/8,16:00,14 ,13 ,19 ,2.1 ,0 ,100,0,94,1016 ,14,100,NULL,NULL
cordoba,2018/11/8,17:00,14 ,13 ,20 ,0.4 ,0 ,60,0,94,1016 ,14,40,NULL,NULL
cordoba,2018/11/8,18:00,14 ,13 ,20 ,0.4 ,0 ,60,0,94,1016 ,14,40,NULL,NULL
cordoba,2018/11/8,19:00,13 ,14 ,20 ,0.4 ,0 ,60,0,94,1017 ,13,40,NULL,NULL
cordoba,2018/11/8,20:00,13 ,14 ,21 ,1.5 ,0 ,70,0,93,1017 ,13,80,NULL,NULL
cordoba,2018/11/8,21:00,13 ,14 ,21 ,1.5 ,0 ,70,0,93,1018 ,11,80,NULL,NULL
cordoba,2018/11/8,22:00,13 ,13 ,20 ,1.5 ,0 ,70,0,93,1019 ,11,80,NULL,NULL
cordoba,2018/11/8,23:00,12 ,12 ,19 ,0 ,0 ,0,0,92,1019 ,12,NULL,NULL,NULL
cordoba,2018/11/9,00:00,11 ,11 ,16 ,0 ,0 ,0,0,92,1020 ,11,NULL,NULL,NULL
cordoba,2018/11/9,01:00,10 ,9 ,14 ,0 ,0 ,0,0,92,1020 ,10,NULL,NULL,NULL
cordoba,2018/11/9,02:00,9 ,9 ,13 ,0 ,0 ,0,0,92,1021 ,9,NULL,NULL,NULL
cordoba,2018/11/9,03:00,8 ,8 ,12 ,0 ,0 ,0,0,93,1021 ,8,NULL,NULL,NULL
cordoba,2018/11/9,04:00,8 ,8 ,12 ,0 ,0 ,0,0,93,1022 ,6,NULL,NULL,NULL
cordoba,2018/11/9,05:00,7 ,7 ,11 ,0 ,0 ,0,0,94,1022 ,7,NULL,NULL,NULL
cordoba,2018/11/9,06:00,7 ,6 ,10 ,0 ,0 ,0,0,94,1022 ,5,NULL,NULL,NULL
cordoba,2018/11/9,07:00,6 ,6 ,9 ,0 ,0 ,0,0,95,1023 ,6,NULL,NULL,NULL
cordoba,2018/11/9,08:00,7 ,6 ,9 ,0 ,0 ,20,0,94,1023 ,7,NULL,NULL,NULL
cordoba,2018/11/9,09:00,8 ,6 ,9 ,0 ,0 ,20,0,91,1024 ,8,NULL,NULL,NULL
cordoba,2018/11/9,10:00,10 ,6 ,10 ,0 ,0 ,20,0,86,1025 ,10,NULL,NULL,NULL
cordoba,2018/11/9,11:00,11 ,7 ,10 ,0 ,0 ,60,0,78,1025 ,11,20,NULL,NULL
cordoba,2018/11/9,12:00,13 ,7 ,11 ,0 ,0 ,60,0,69,1024 ,13,20,NULL,NULL
cordoba,2018/11/9,13:00,14 ,8 ,12 ,0 ,0 ,60,0,60,1024 ,14,20,NULL,NULL
cordoba,2018/11/9,14:00,15 ,8 ,13 ,0 ,0 ,40,0,54,1023 ,15,10,NULL,NULL
cordoba,2018/11/9,15:00,16 ,9 ,14 ,0 ,0 ,40,0,50,1022 ,16,10,NULL,NULL
cordoba,2018/11/9,16:00,16 ,10 ,14 ,0 ,0 ,40,0,50,1022 ,16,10,NULL,NULL
cordoba,2018/11/9,17:00,15 ,9 ,14 ,0 ,0 ,70,0,54,1022 ,15,20,NULL,NULL
cordoba,2018/11/9,18:00,13 ,8 ,13 ,0 ,0 ,70,0,62,1022 ,13,20,NULL,NULL
cordoba,2018/11/9,19:00,12 ,7 ,11 ,0 ,0 ,70,0,67,1022 ,12,20,NULL,NULL
cordoba,2018/11/9,20:00,12 ,5 ,8 ,0 ,0 ,80,0,69,1022 ,12,20,NULL,NULL
cordoba,2018/11/9,21:00,12 ,3 ,5 ,0 ,0 ,80,0,70,1023 ,12,20,NULL,NULL
cordoba,2018/11/9,22:00,11 ,2 ,3 ,0 ,0 ,80,0,72,1023 ,11,20,NULL,NULL
cordoba,2018/11/9,23:00,11 ,2 ,3 ,0 ,0 ,30,0,74,1023 ,11,NULL,NULL,NULL
cordoba,2018/11/10,00:00,10 ,3 ,4 ,0 ,0 ,30,0,76,1023 ,10,NULL,NULL,NULL
cordoba,2018/11/10,01:00,10 ,3 ,4 ,0 ,0 ,30,0,78,1022 ,10,NULL,NULL,NULL
cordoba,2018/11/10,02:00,9 ,2 ,3 ,0 ,0 ,90,0,80,1022 ,9,30,NULL,NULL
cordoba,2018/11/10,03:00,9 ,1 ,2 ,0 ,0 ,90,0,82,1021 ,9,30,NULL,NULL
cordoba,2018/11/10,04:00,9 ,1 ,1 ,0 ,0 ,90,0,84,1021 ,9,30,NULL,NULL
cordoba,2018/11/10,05:00,9 ,1 ,1 ,0 ,0 ,100,0,85,1021 ,9,30,NULL,NULL
cordoba,2018/11/10,06:00,9 ,1 ,1 ,0 ,0 ,100,0,86,1021 ,9,30,NULL,NULL
cordoba,2018/11/10,07:00,9 ,1 ,1 ,0 ,0 ,100,0,86,1021 ,9,30,NULL,NULL
cordoba,2018/11/10,08:00,9 ,1 ,2 ,0 ,0 ,60,0,85,1021 ,9,20,NULL,NULL
cordoba,2018/11/10,09:00,10 ,2 ,4 ,0 ,0 ,60,0,82,1021 ,10,20,NULL,NULL
cordoba,2018/11/10,10:00,12 ,4 ,6 ,0 ,0 ,60,0,79,1021 ,12,20,NULL,NULL
cordoba,2018/11/10,11:00,13 ,7 ,11 ,0 ,0 ,100,0,75,1021 ,13,30,NULL,NULL
cordoba,2018/11/10,12:00,14 ,12 ,18 ,0 ,0 ,100,0,71,1021 ,14,30,NULL,NULL
cordoba,2018/11/10,13:00,16 ,15 ,22 ,0 ,0 ,100,0,68,1020 ,16,30,NULL,NULL
cordoba,2018/11/10,14:00,17 ,15 ,22 ,0 ,0 ,90,0,68,1019 ,17,30,NULL,NULL
cordoba,2018/11/10,15:00,17 ,14 ,21 ,0 ,0 ,90,0,69,1019 ,17,30,NULL,NULL
cordoba,2018/11/10,16:00,17 ,13 ,20 ,0 ,0 ,90,0,71,1018 ,17,30,NULL,NULL
cordoba,2018/11/10,17:00,17 ,12 ,19 ,0 ,0 ,90,0,74,1018 ,17,30,NULL,NULL
cordoba,2018/11/10,18:00,16 ,12 ,17 ,0 ,0 ,90,0,76,1018 ,16,30,NULL,NULL
cordoba,2018/11/10,19:00,16 ,11 ,16 ,0 ,0 ,90,0,79,1018 ,16,30,NULL,NULL
cordoba,2018/11/10,20:00,15 ,11 ,16 ,0.2 ,0 ,80,0,82,1018 ,15,60,NULL,NULL
cordoba,2018/11/10,21:00,15 ,12 ,17 ,0.2 ,0 ,80,0,85,1019 ,15,60,NULL,NULL
cordoba,2018/11/10,22:00,14 ,11 ,17 ,0.2 ,0 ,80,0,89,1019 ,14,60,NULL,NULL
cordoba,2018/11/10,23:00,14 ,10 ,15 ,0.5 ,0 ,80,0,91,1019 ,14,70,NULL,NULL
cordoba,2018/11/11,00:00,14 ,9 ,13 ,0.5 ,0 ,80,0,92,1019 ,14,70,NULL,NULL
cordoba,2018/11/11,01:00,14 ,8 ,12 ,0.5 ,0 ,80,0,93,1018 ,14,70,NULL,NULL
cordoba,2018/11/11,02:00,14 ,7 ,10 ,0.3 ,0 ,90,0,93,1018 ,14,80,NULL,NULL
cordoba,2018/11/11,03:00,14 ,6 ,9 ,0.3 ,0 ,90,0,93,1018 ,14,80,NULL,NULL
cordoba,2018/11/11,04:00,14 ,5 ,8 ,0.3 ,0 ,90,0,93,1017 ,14,80,NULL,NULL
cordoba,2018/11/11,05:00,14 ,5 ,7 ,0.1 ,0 ,90,0,94,1017 ,14,60,NULL,NULL
cordoba,2018/11/11,06:00,14 ,4 ,6 ,0.1 ,0 ,90,0,94,1017 ,14,60,NULL,NULL
cordoba,2018/11/11,07:00,14 ,4 ,6 ,0.1 ,0 ,90,0,95,1017 ,14,60,NULL,NULL
cordoba,2018/11/11,08:00,14 ,4 ,6 ,0.1 ,0 ,80,0,94,1017 ,14,60,NULL,NULL
cordoba,2018/11/11,09:00,15 ,4 ,6 ,0.1 ,0 ,80,0,92,1017 ,15,60,NULL,NULL
cordoba,2018/11/11,10:00,16 ,4 ,6 ,0.1 ,0 ,80,0,89,1017 ,16,60,NULL,NULL
cordoba,2018/11/11,11:00,16 ,5 ,7 ,0.2 ,0 ,70,0,85,1017 ,16,60,NULL,NULL
cuenca,2018/11/8,Ahora,10 ,9 ,14 ,--,--,--,--,87 ,1017 ,9,NULL,12:25,Ilimitada
cuenca,2018/11/8,13:00,12 ,10 ,14 ,0 ,0 ,90,0,84,1017 ,12,30,NULL,NULL
cuenca,2018/11/8,14:00,13 ,10 ,15 ,1 ,0 ,90,0,84,1016 ,13,90,NULL,NULL
cuenca,2018/11/8,15:00,13 ,9 ,14 ,1 ,0 ,90,0,85,1015 ,13,90,NULL,NULL
cuenca,2018/11/8,16:00,13 ,9 ,13 ,1 ,0 ,90,0,86,1014 ,13,90,NULL,NULL
cuenca,2018/11/8,17:00,12 ,8 ,12 ,3.1 ,0 ,100,0,87,1014 ,12,100,NULL,NULL
cuenca,2018/11/8,18:00,11 ,7 ,11 ,3.1 ,0 ,100,0,88,1014 ,11,100,NULL,NULL
cuenca,2018/11/8,19:00,10 ,7 ,10 ,3.1 ,0 ,100,0,90,1014 ,10,100,NULL,NULL
cuenca,2018/11/8,20:00,10 ,7 ,10 ,1.3 ,0 ,60,0,91,1015 ,10,80,NULL,NULL
cuenca,2018/11/8,21:00,9 ,7 ,10 ,1.3 ,0 ,60,0,91,1015 ,9,80,NULL,NULL
cuenca,2018/11/8,22:00,9 ,7 ,10 ,1.3 ,0 ,60,0,92,1015 ,9,80,NULL,NULL
cuenca,2018/11/8,23:00,9 ,7 ,10 ,0.5 ,0 ,100,0,93,1016 ,9,90,NULL,NULL
cuenca,2018/11/9,00:00,8 ,7 ,10 ,0.5 ,0 ,100,0,94,1016 ,8,90,NULL,NULL
cuenca,2018/11/9,01:00,8 ,7 ,11 ,0.5 ,0 ,100,0,95,1016 ,8,90,NULL,NULL
cuenca,2018/11/9,02:00,7 ,7 ,11 ,0.2 ,0 ,90,0,96,1016 ,7,70,NULL,NULL
cuenca,2018/11/9,03:00,6 ,8 ,11 ,0.2 ,0 ,90,0,95,1017 ,4,70,NULL,NULL
cuenca,2018/11/9,04:00,5 ,8 ,12 ,0.2 ,0 ,90,0,95,1017 ,3,70,NULL,NULL
cuenca,2018/11/9,05:00,4 ,8 ,12 ,0.1 ,0 ,90,0,95,1018 ,2,60,NULL,NULL
cuenca,2018/11/9,06:00,4 ,7 ,11 ,0.1 ,0 ,90,0,96,1018 ,2,60,NULL,NULL
cuenca,2018/11/9,07:00,4 ,7 ,11 ,0.1 ,0 ,90,0,97,1019 ,2,60,NULL,NULL
cuenca,2018/11/9,08:00,4 ,8 ,12 ,0.1 ,0 ,70,0,96,1020 ,2,60,NULL,NULL
cuenca,2018/11/9,09:00,4 ,9 ,14 ,0.1 ,0 ,70,0,94,1020 ,2,60,NULL,NULL
cuenca,2018/11/9,10:00,5 ,10 ,16 ,0.1 ,0 ,70,0,91,1021 ,3,60,NULL,NULL
cuenca,2018/11/9,11:00,6 ,11 ,16 ,0.1 ,0 ,80,0,84,1021 ,4,60,NULL,NULL
cuenca,2018/11/9,12:00,7 ,11 ,17 ,0.1 ,0 ,80,0,76,1021 ,5,60,NULL,NULL
cuenca,2018/11/9,13:00,8 ,11 ,17 ,0.1 ,0 ,80,0,69,1020 ,6,60,NULL,NULL
cuenca,2018/11/9,14:00,8 ,11 ,17 ,0 ,0 ,60,0,67,1020 ,8,20,NULL,NULL
cuenca,2018/11/9,15:00,9 ,11 ,16 ,0 ,0 ,60,0,66,1019 ,9,20,NULL,NULL
cuenca,2018/11/9,16:00,10 ,10 ,16 ,0 ,0 ,60,0,66,1019 ,8,20,NULL,NULL
cuenca,2018/11/9,17:00,9 ,9 ,14 ,0 ,0 ,20,0,67,1019 ,9,NULL,NULL,NULL
cuenca,2018/11/9,18:00,8 ,8 ,11 ,0 ,0 ,20,0,69,1020 ,8,NULL,NULL,NULL
cuenca,2018/11/9,19:00,7 ,6 ,10 ,0 ,0 ,20,0,73,1020 ,7,NULL,NULL,NULL
cuenca,2018/11/9,20:00,6 ,6 ,9 ,0 ,0 ,80,0,79,1021 ,6,20,NULL,NULL
cuenca,2018/11/9,21:00,6 ,5 ,8 ,0 ,0 ,80,0,87,1021 ,6,20,NULL,NULL
cuenca,2018/11/9,22:00,5 ,5 ,8 ,0 ,0 ,80,0,94,1022 ,5,20,NULL,NULL
cuenca,2018/11/9,23:00,5 ,5 ,8 ,0 ,0 ,100,0,97,1022 ,5,30,NULL,NULL
cuenca,2018/11/10,00:00,5 ,5 ,8 ,0 ,0 ,100,0,99,1021 ,5,30,NULL,NULL
cuenca,2018/11/10,01:00,6 ,5 ,8 ,0 ,0 ,100,0,99,1021 ,6,30,NULL,NULL
cuenca,2018/11/10,02:00,6 ,5 ,7 ,0.1 ,0 ,100,0,97,1020 ,6,60,NULL,NULL
cuenca,2018/11/10,03:00,6 ,5 ,7 ,0.1 ,0 ,100,0,94,1020 ,6,60,NULL,NULL
cuenca,2018/11/10,04:00,7 ,4 ,6 ,0.1 ,0 ,100,0,92,1019 ,7,60,NULL,NULL
cuenca,2018/11/10,05:00,7 ,4 ,6 ,0.1 ,0 ,100,0,92,1019 ,7,60,NULL,NULL
cuenca,2018/11/10,06:00,7 ,4 ,7 ,0.1 ,0 ,100,0,92,1018 ,7,60,NULL,NULL
cuenca,2018/11/10,07:00,7 ,5 ,7 ,0.1 ,0 ,100,0,91,1018 ,7,60,NULL,NULL
cuenca,2018/11/10,08:00,7 ,6 ,8 ,0.1 ,0 ,100,0,91,1018 ,7,60,NULL,NULL
cuenca,2018/11/10,09:00,7 ,6 ,10 ,0.1 ,0 ,100,0,91,1018 ,7,60,NULL,NULL
cuenca,2018/11/10,10:00,8 ,7 ,11 ,0.1 ,0 ,100,0,90,1018 ,6,60,NULL,NULL
cuenca,2018/11/10,11:00,8 ,9 ,13 ,0 ,0 ,100,0,89,1018 ,8,30,NULL,NULL
cuenca,2018/11/10,12:00,9 ,10 ,15 ,0 ,0 ,100,0,87,1017 ,9,30,NULL,NULL
cuenca,2018/11/10,13:00,10 ,11 ,17 ,0 ,0 ,100,0,86,1017 ,8,30,NULL,NULL
cuenca,2018/11/10,14:00,11 ,11 ,17 ,0.3 ,0 ,90,0,87,1016 ,11,80,NULL,NULL
cuenca,2018/11/10,15:00,12 ,11 ,16 ,0.3 ,0 ,90,0,89,1015 ,12,80,NULL,NULL
cuenca,2018/11/10,16:00,13 ,10 ,16 ,0.3 ,0 ,90,0,90,1015 ,13,80,NULL,NULL
cuenca,2018/11/10,17:00,13 ,10 ,15 ,0.3 ,0 ,100,0,91,1015 ,13,80,NULL,NULL
cuenca,2018/11/10,18:00,12 ,10 ,14 ,0.3 ,0 ,100,0,93,1016 ,12,80,NULL,NULL
cuenca,2018/11/10,19:00,12 ,9 ,14 ,0.3 ,0 ,100,0,93,1016 ,12,80,NULL,NULL
cuenca,2018/11/10,20:00,12 ,9 ,13 ,0.1 ,0 ,100,0,94,1016 ,12,60,NULL,NULL
